Subject,Condition,Race,Gender,Trial,Puzzle,PuzOrd,SpcOrd,resphelp,resphelpwho,IndSolv,,,,,,,,,,,,,,,
35,U,O,F,1,S,4,1,1,A,,,,,,,,,,,,,,,,
35,U,O,F,2,I,4,1,0,,,,,,,,,,,,,,,,,
36,U,W,M,1,I,1,1,1,B,,,,,,,,,,,,,,,,
36,U,W,M,2,M,1,1,1,B,,,,,,,,,,,,,,,,
36,U,W,M,3,T,1,1,0,,,,,,,,,,,,,,,,,
36,U,W,M,4,S,1,1,1,B,,,,,,,,,,,,,,,,
37,U,W,M,1,M,2,1,1,A,,,,,,,,,,,,,,,,
37,U,W,M,2,T,2,1,0,,1,,,,,,,,,,,,,,,
37,U,W,M,3,S,2,1,0,,,,,,,,,,,,,,,,,
37,U,W,M,4,I ,2,1,0,,,,,,,,,,,,,,,,,
38,F,A,M,1,M,2,2,0,,1,,,,,,,,,,,,,,,
38,F,A,M,2,T,2,2,0,,1,,,,,,,,,,,,,,,
38,F,A,M,3,S,2,2,0,,,,,,,,,,,,,,,,,
38,F,A,M,4,I,2,2,0,,1,,,,,,,,,,,,,,,
39,F,W,M,1,I,1,2,0,,,,,,,,,,,,,,,,,
39,F,W,M,2,M,1,2,0,,1,,,,,,,,,,,,,,,
39,F,W,M,3,T,1,2,0,,,,,,,,,,,,,,,,,
39,F,W,M,4,S,1,2,0,,1,,,,,,,,,,,,,,,
40,U,A,M,1,T,3,2,1,B,,,,,,,,,,,,,,,,
40,U,A,M,2,S,3,2,1,A,,,,,,,,,,,,,,,,
40,U,A,M,3,I,3,2,1,A,,,,,,,,,,,,,,,,
40,U,A,M,4,M,3,2,1,A,,,,,,,,,,,,,,,,
41,U,W,F,1,M,2,1,1,B,,,,,,,,,,,,,,,,
41,U,W,F,2,T,2,1,0,,,,,,,,,,,,,,,,,
41,U,W,F,3,S,2,1,1,A,,,,,,,,,,,,,,,,
41,U,W,F,4,I,2,1,0,,,,,,,,,,,,,,,,,
42,F,W,F,1,M,2,2,0,,1,,,,,,,,,,,,,,,
42,F,W,F,2,T,2,2,0,,,,,,,,,,,,,,,,,
42,F,W,F,3,S,2,2,0,,1,,,,,,,,,,,,,,,
42,F,W,F,4,I,2,2,0,,1,,,,,,,,,,,,,,,
43,F,A/W,M,1,I,1,2,0,,1,,,,,,,,,,,,,,,
43,F,A/W,M,2,M,1,2,0,,,,,,,,,,,,,,,,,
43,F,A/W,M,3,T,1,2,0,,,,,,,,,,,,,,,,,
43,F,A/W,M,4,S,1,2,0,,1,,,,,,,,,,,,,,,
44,U,A,M,1,T,3,1,1,B,,,,,,,,,,,,,,,,
44,U,A,M,2,S,3,1,1,A,,,,,,,,,,,,,,,,
44,U,A,M,3,I,3,1,0,,,,,,,,,,,,,,,,,
44,U,A,M,4,M,3,1,0,,,,,,,,,,,,,,,,,
45,F,W,F,1,S,4,2,0,,,,,,,,,,,,,,,,,
45,F,W,F,2,I,4,2,0,,1,,,,,,,,,,,,,,,
45,F,W,F,3,M,4,2,0,,1,,,,,,,,,,,,,,,
45,F,W,F,4,T,4,2,0,,1,,,,,,,,,,,,,,,
46,U,W,M,1,T,3,2,0,,,,,,,,,,,,,,,,,
46,U,W,M,2,S,3,2,0,,,,,,,,,,,,,,,,,
46,U,W,M,3,I,3,2,0,,,,,,,,,,,,,,,,,
47,U,W,F,1,S,4,1,1,A,,,,,,,,,,,,,,,,
47,U,W,F,2,I,4,1,0,,,,,,,,,,,,,,,,,
47,U,W,F,3,M,4,1,0,,,,,,,,,,,,,,,,,
47,U,W,F,4,T,4,1,0,,1,,,,,,,,,,,,,,,
48,F,A,F,1,S,4,2,0,,,,,,,,,,,,,,,,,
48,F,A,F,2,I,4,2,1,B,,,,,,,,,,,,,,,,
48,F,A,F,3,M,4,2,0,,1,,,,,,,,,,,,,,,
48,F,A,F,4,T,4,2,0,,1,,,,,,,,,,,,,,,
49,F,A,M,1,M,2,1,1,B,,,,,,,,,,,,,,,,
49,F,A,M,2,T,2,1,1,A,,,,,,,,,,,,,,,,
49,F,A,M,3,S,2,1,0,,,,,,,,,,,,,,,,,
49,F,A,M,4,I,2,1,0,,1,,,,,,,,,,,,,,,
50,F,A,M,1,I,1,1,0,,1,,,,,,,,,,,,,,,
50,F,A,M,2,M,1,1,0,,1,,,,,,,,,,,,,,,
50,F,A,M,3,T,1,1,0,,1,,,,,,,,,,,,,,,
50,F,A,M,4,S,1,1,0,,1,,,,,,,,,,,,,,,
51,F,A,M,1,T,2,1,0,,1,,,,,,,,,,,,,,,
51,F,A,M,2,S,2,1,0,,,,,,,,,,,,,,,,,
51,F,A,M,3,I,2,1,0,,1,,,,,,,,,,,,,,,
51,F,A,M,4,M,2,1,0,,1,,,,,,,,,,,,,,,
52,F,W,F,1,S,4,1,0,,1,,,,,,,,,,,,,,,
52,F,W,F,2,I,4,1,0,,1,,,,,,,,,,,,,,,
52,F,W,F,3,M,4,1,0,,1,,,,,,,,,,,,,,,
52,F,W,F,4,T,4,1,0,,1,,,,,,,,,,,,,,,
54,U,A,M,1,T,3,2,1,A,,,,,,,,,,,,,,,,
54,U,A,M,2,S,3,2,0,,,,,,,,,,,,,,,,,
54,U,A,M,3,I,3,2,0,,,,,,,,,,,,,,,,,
54,U,A,M,4,M,3,2,1,B,,,,,,,,,,,,,,,,
55,F,W,M,1,T,3,1,0,,1,,,,,,,,,,,,,,,
55,F,W,M,2,S,3,1,0,,,,,,,,,,,,,,,,,
56,U,W,M,1,S,4,2,1,A,,,,,,,,,,,,,,,,
56,U,W,M,2,I,4,2,1,A,,,,,,,,,,,,,,,,
56,U,W,M,3,M,4,2,1,A,,,,,,,,,,,,,,,,
56,U,W,M,4,T,4,2,1,A,,,,,,,,,,,,,,,,
57,F,W,M,1,T,3,2,1,A,,,,,,,,,,,,,,,,
58,F,A,M,1,T,3,2,1,B,,,,,,,,,,,,,,,,
58,F,A,M,3,I,3,2,1,A,,,,,,,,,,,,,,,,
58,F,A,M,4,M,3,2,0,,1,,,,,,,,,,,,,,,
59,F,W,M,1,S,4,1,0,,,,,,,,,,,,,,,,,
59,F,W,M,3,M,4,1,1,A,,,,,,,,,,,,,,,,
59,F,W,M,4,T,4,1,0,,1,,,,,,,,,,,,,,,
60,F,A,M,1,S,4,2,0,,1,,,,,,,,,,,,,,,
60,F,A,M,2,I,4,2,0,,1,,,,,,,,,,,,,,,
60,F,A,M,4,T,4,2,0,,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
